Fan_hours,Refrigerator_hours,AirConditioner_hours,Television_hours,Monitor_hours,MotorPump_hours,Months,City,Company,MonthlyHours,TariffRate,ElectricityBill
11,22.0,1.0,11.0,1.0,0,1,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,474,8.4,3981.6000000000000
17,22.0,2.0,15.0,1.0,0,1,Hyderabad,Power Grid Corp,553,8.4,4645.2
17,22.0,2.0,11.0,1.0,0,1,Hyderabad,Tata Power Company Ltd.,553,8.4,4645.2
16,22.0,3.0,7.0,1.0,0,1,Hyderabad,Jaiprakash Power,632,8.4,5308.8
9,21.0,2.0,22.0,1.0,0,1,Hyderabad,Reliance Energy,632,8.4,5308.8
22,22.0,0.0,12.0,12.0,0,1,Hyderabad,NLC India,550,8.4,4620.0
11,22.0,2.0,12.0,12.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,682,8.4,5728.8
10,23.0,0.0,14.0,1.0,0,1,Hyderabad,Indowind Energy,594,8.4,4989.6
5,23.0,3.0,10.0,1.0,0,1,Hyderabad,SJVN Ltd.,572,8.4,4804.8
9,20.0,1.0,8.0,1.0,0,1,Hyderabad,Kalpataru Power,528,8.4,4435.2
22,23.0,2.0,11.0,1.0,0,1,Hyderabad,Adani Power Ltd.,528,8.4,4435.2
13,23.0,0.0,5.0,1.0,0,1,Hyderabad,NLC India,528,8.4,4435.2
5,20.0,3.0,17.0,1.0,0,1,Hyderabad,Reliance Power,456,8.4,3830.4
16,23.0,1.0,14.0,1.0,0,1,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",475,8.4,3990.0
7,17.0,3.0,21.0,7.0,0,1,Hyderabad,Kalpataru Power,627,8.4,5266.8
6,23.0,1.0,3.0,1.0,0,1,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),323,8.4,2713.2000000000000
16,23.0,0.0,19.0,1.0,0,1,Hyderabad,Indowind Energy,513,8.4,4309.2
13,23.0,0.0,6.0,1.0,0,1,Hyderabad,NHPC,437,8.4,3670.8
19,22.0,3.0,20.0,1.0,0,1,Hyderabad,Jyoti Structure,756,8.4,6350.400000000000
6,21.0,0.0,15.0,1.0,0,1,Hyderabad,NHPC,540,8.4,4536.0
12,22.0,2.0,21.0,1.0,0,1,Hyderabad,Jaiprakash Power,540,8.4,4536.0
20,23.0,2.0,8.0,1.0,0,1,Hyderabad,NTPC Pvt. Ltd.,498,8.4,4183.2
22,22.0,2.0,16.0,1.0,0,1,Hyderabad,KEC International,498,8.4,4183.2
19,23.0,1.0,3.0,1.0,0,1,Hyderabad,Neueon Towers / Sujana Towers Ltd.,498,8.4,4183.2
